calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"ABENCERRAJES, CAMINO, DE LOS",Camino de los Abencerrajes,1,1,6.60,1,0,15.10,0,Ninguno,Ninguna,,
"ABU ISAAC, CALLE",Calle Abu Isaac,1,1,5.11,0,0,0.00,0,Ninguno,Ninguna,,
"ACEQUIA DE NAUJAR, CALLE",Calle Acequia de Naujar,1,3,8.70,0,0,0.00,0,Ninguno,Ninguna,,
"ACERA DE CANASTEROS, CALLE",Calle Acera de Canasteros,0,0,0.00,1,0,15.60,0,Ninguno,Ninguna,,
CALLE ACERA DE SAN ILDEFONSO,Calle Acera de San Ildefonso,0,0,0.00,0,0,0.00,50,Azul,Toda la calle,,
"ACERA DEL DARRO, CALLE",Calle Acera del Darro,2,3,16.50,7,3,165.20,0,Ninguno,Ninguna,,
"ACERA DEL TRIUNFO, CALLE",Calle Acera del Triunfo,0,0,0.00,1,0,20.30,0,Ninguno,Ninguna,,
"ACONCAGUA, CALLE",Calle Aconcagua,1,2,14.50,0,0,0.00,0,Ninguno,Ninguna,,
"ACTRIZ FABIANA LAURA, CALLE",Calle Actriz Fabiana Laura,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"AGUSTIN LARA, CALLE",Calle Agustín Lara,2,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"AGUSTINA DE ARAGON, CALLE",Calle Agustina de Aragón,1,2,10.00,3,4,61.00,0,Ninguno,Ninguna,,
"ALBERCA, CALLE",Calle Alberca,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALBONDON, CALLE",Calle Albondón,2,3,18.10,0,0,0.00,0,Ninguno,Ninguna,,
"ALBU?OL, CALLE",Calle Albuñol,1,1,3.30,0,0,0.00,0,Ninguno,Ninguna,,
"ALCALA DE HENARES, CALLE",Calle Alcalá de Henares,0,0,0.00,1,3,15.20,0,Ninguno,Ninguna,,
"ALCALDE I?IGO MANRIQUE, CALLE",Calle Alcalde Íñigo Manrique,2,3,10.40,0,0,0.00,0,Ninguno,Ninguna,,
"ALCALDE MOSEN RUBI DE BRACAMOTE, CALLE",Calle Alcalde Mosén Rubí de Bracamonte,4,4,29.30,0,0,0.00,0,Ninguno,Ninguna,,
"ALEJANDRO DUMAS, CALLE",Calle Alejandro Dumas,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALFACAR, CAMINO, DE",Camino de Alfacar,1,2,9.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALHACABA, CUESTA",Cuesta de la Alhacaba,1,1,6.70,0,0,0.00,0,Ninguno,Ninguna,,
"ALHAMA DE GRANADA, CALLE",Calle Alhama de Granada,1,1,6.80,0,0,0.00,0,Ninguno,Ninguna,,
"ALHAMAR, CALLE",Calle Alhamar,3,4,19.32,5,3,78.13,67,Azul,Toda la calle,,
"ALHONDIGA, CALLE",Calle Alhóndiga,0,0,0.00,1,0,13.40,0,Ninguno,Ninguna,,
"ALICANTE, CALLE",Calle Alicante,1,2,12.00,0,0,0.00,0,Ninguno,Ninguna,,
"ALMAGRO SEGURA, PLAZA",Plaza Almagro Segura,1,2,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALMIRECEROS, CALLE",Calle Almireceros,0,0,0.00,1,0,26.60,0,Ninguno,Ninguna,,
"ALMONA DE SAN JUAN DE DIOS, CALLE",Calle Almona de San Juan de Dios,0,0,0.00,2,0,26.90,0,Ninguno,Ninguna,,
"ALONDRA, CALLE",Calle Alondra,0,0,0.00,2,0,49.00,0,Ninguno,Ninguna,,
"ALQUIBLA, CALLE",Calle Alquibla,1,1,7.10,0,0,0.00,0,Ninguno,Ninguna,,
"ALVAREZ PELAYO, CALLE",Calle Álvarez Pelayo,0,0,0.00,1,0,10.90,0,Ninguno,Ninguna,,
"ALVARO DE BAZAN, CALLE",Calle Álvaro de Bazán,0,0,0.00,1,6,33.80,0,Ninguno,Ninguna,,
"AMERICA, AVENIDA, DE",Avenida de América,1,4,9.88,1,0,28.00,0,Ninguno,Ninguna,,
"ANCHA DE CAPUCHINOS, CALLE",Calle Ancha de Capuchinos,1,2,10.20,5,0,91.50,32,Azul,Toda la calle,,
"ANCHA DE GRACIA, CALLE",Calle Ancha de Gracia,2,4,24.05,1,0,33.70,37,Azul,Toda la calle,,
"ANDALUCES, AVENIDA, DE",Avenida de Andaluces,1,2,4.30,2,0,80.50,0,Ninguno,Ninguna,,
"ANDALUCIA, AVENIDA, DE",Avenida de Andalucía,1,1,6.90,3,0,61.00,0,Ninguno,Ninguna,,
"ANDREA NAVAGIERO, CALLE",Calle Andrea Navagiero,1,1,8.90,0,0,0.00,0,Ninguno,Ninguna,,
"ANDRES SEGOVIA, CALLE",Calle Andrés Segovia,1,1,3.51,1,0,14.73,0,Ninguno,Ninguna,,
"ANGEL BARRIOS, CALLE",Calle Ángel Barrios,1,3,16.40,1,0,22.50,0,Ninguno,Ninguna,,
"ANTONIO DALMASES, CALLE",Calle Antonio Dalmases,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ANTONIO MACHADO, CALLE",Calle Antonio Machado,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"APOLO, CALLE",Calle Apolo,0,0,0.00,1,0,11.30,0,Ninguno,Ninguna,,
"ARABIAL, CALLE",Calle Arabial,7,9,57.39,11,0,205.70,0,Ninguno,Ninguna,,
"ARENAS, CALLEJON, DE",Callejón de Arenas,1,2,10.50,1,0,30.20,0,Ninguno,Ninguna,,
"ARQUITECTO TORRES BALBAS, CALLE",Calle Arquitecto Torres Balbas,0,0,0.00,1,0,22.60,0,Ninguno,Ninguna,,
"ARTESANO MOLERO, CALLE",Calle Artesano Molero,0,0,0.00,1,0,17.10,0,Ninguno,Ninguna,,
"ARGENTINA, CALLE",Calle Argentina,1,1,4.90,0,0,0.00,0,Ninguno,Ninguna,,
"ARGENTINITA, AVENIDA, DE LA",Avenida de la Argentinita,1,2,8.00,0,0,0.00,0,Ninguno,Ninguna,,
"ARQUITECTO MODESTO CENDOYA, CALLE",Calle Arquitecto Modesto Cendoya,1,1,5.40,0,0,0.00,0,Ninguno,Ninguna,,
"ARZOBISPO GUERRERO, CALLE",Calle Arzobispo Guerrero,2,2,13.00,0,0,0.00,0,Ninguno,Ninguna,,
"ASTURIAS, CALLE",Calle Asutiras,4,8,52.60,0,0,0.00,0,Ninguno,Ninguna,,
"ATENEA, CALLE",Calle Atenea,2,2,10.90,0,0,0.00,0,Ninguno,Ninguna,,
"AVICENA, CALLE",Calle Avicena,2,2,10.50,0,0,0.00,0,Ninguno,Ninguna,,
"AVILA SEGOVIA, CALLE",Calle Ávila Segovia,0,0,0.00,1,0,24.90,0,Ninguno,Ninguna,,
"AZORIN, CALLE",Calle Azorín,1,2,12.50,3,0,47.40,0,Ninguno,Ninguna,,
"BAJO DE HUETOR, CAMINO",Camino Bajo de Huétor,2,2,10.30,1,0,14.70,0,Ninguno,Ninguna,,
"BALADIES, CALLE",Calle Baladíes,1,2,8.50,0,0,0.00,0,Ninguno,Ninguna,,
"BARATILLOS, CALLE",Calle Baratillos,0,0,0.00,1,0,17.70,0,Ninguno,Ninguna,,
"BARCELONA, AVENIDA, DE",Avenida de Barcelona,3,6,31.65,2,0,29.10,0,Ninguno,Ninguna,,
"BARON PIERRE DE COUBERTIN, PLAZA",Plaza Barón Pierre de Coubertin,1,2,10.90,0,0,0.00,0,Ninguno,Ninguna,,
"BASILIOS, PASEO, DE LOS",Paseo de los Basilios,2,5,33.60,2,0,45.70,50,Verde,Toda la calle,,
"BEETHOVEN, CALLE",Calle Beethoven,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"BERNARDA ALBA, CALLE",Calle Bernarda Alba,2,2,13.10,0,0,0.00,0,Ninguno,Ninguna,,
"BIBATAUBIN, PLAZA, DE",Plaza de Bibataubin,1,3,19.90,0,0,0.00,0,Ninguno,Ninguna,,
"BOMBA, PASEO, DE LA",Paseo de la Bomba,2,3,15.60,1,0,7.60,48,Azul,Toda la calle,,
"BOQUERON, PLAZA, DEL",Plaza del Boquerón,0,0,0.00,1,0,20.10,0,Ninguno,Ninguna,,
"BRUSELAS, CALLE",Calle Bruselas,1,1,3.90,0,0,0.00,0,Ninguno,Ninguna,,
"CA?AR, CALLE",Calle Cáñar,1,1,5.90,0,0,0.00,0,Ninguno,Ninguna,,
"CA?AVERAL, CALLE",Calle Cañaveral,4,9,51.90,1,0,28.80,0,Ninguno,Ninguna,,
"CABRAS, CUESTA, DE LAS",Cuesta de las Cabras,1,1,6.60,0,0,0.00,0,Ninguno,Ninguna,,
"CADIZ, AVENIDA, DE",Avenida de Cádiz,2,3,16.80,7,11,149.00,0,Ninguno,Ninguna,,
"CALAR, CALLE, EL",Calle El Calar,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
CALLE SIN ASIGNAR,Calle sin asignar,16,17,95.37,4,0,43.60,0,Ninguno,Ninguna,,
"CAMPO DEL PRINCIPE, PLAZA",Plaza Campo del Príncipe,1,2,9.80,0,0,0.00,0,Ninguno,Ninguna,,
"CAMPOAMOR, CALLE",Calle Campoamor,1,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"CAPITAN MORENO, AVENIDA",Avenida Capitán Moreno,2,2,10.60,0,0,0.00,33,Azul,Toda la calle,,
"CARLOS PAREJA, CALLE",Calle Carlos Pareja,1,1,6.50,1,0,10.50,0,Ninguno,Ninguna,,
"CARNICERIA, CALLE",Calle Carnicería,0,0,0.00,1,2,8.50,0,Ninguno,Ninguna,,
"CARRERA DE LA VIRGEN, CALLE",Calle Carrera de la Virgen,3,7,38.34,5,0,120.81,0,Ninguno,Ninguna,,
"CARRETAS, PLAZA, DE",Plaza de Carretas,0,0,0.00,1,0,24.80,0,Ninguno,Ninguna,,
"CARRIL DEL PICON, CALLE",Carril del Picón,0,0,0.00,2,0,39.80,41,Roja,Toda la calle,,
"CARTUJA, PASEO, DE",Paseo de Cartuja,1,2,8.50,0,0,0.00,0,Ninguno,Ninguna,,
"CASERIA AGUIRRE, CALLE",Calle Casería Aguirre,2,2,13.10,0,0,0.00,0,Ninguno,Ninguna,,
"CASERIA DEL CERRO, CALLE",Calle Casería del Cerro,1,1,5.50,0,0,0.00,0,Ninguno,Ninguna,,
"CASILLAS DE PRATS, CALLE",Calle Casillas de Prats,0,0,0.00,1,0,41.60,40,Roja,Toda la calle,,
"CATALU?A, CALLE",Calle Cataluña,1,1,8.80,0,0,0.00,0,Ninguno,Ninguna,,
"CEMENTERIO DE SAN NICOLAS, PLAZA",Plaza Cementerio de San Nicolás,1,1,4.55,0,0,0.00,0,Ninguno,Ninguna,,
"CEMENTERIO DE SANTA ESCOLASTICA, CALLE",Calle Cementerio de Santa Escolástica,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"CERVANTES, AVENIDA, DE",Avenida de Cervantes,3,4,21.30,4,2,49.90,0,Ninguno,Ninguna,,
"CHAPIZ, CUESTA, DEL",Cuesta del Chapiz,1,1,6.44,0,0,0.00,0,Ninguno,Ninguna,,
"CHILE, CALLE",Calle Chile,1,1,6.90,0,0,0.00,0,Ninguno,Ninguna,,
"CIENCIA, AVENIDA, DE LA",Avenida de la Ciencia,2,4,20.40,0,0,0.00,0,Ninguno,Ninguna,,
"CIRCUNVALACION ENCINA, CALLE",Calle Circunvalación Encina,2,2,12.30,1,5,28.00,0,Ninguno,Ninguna,,
"CISNE, CALLE",Calle Cisne,1,2,10.23,1,0,17.60,0,Ninguno,Ninguna,,
"COLEGIO DE VETERINARIOS, CALLE",Calle Colegio de Veterinarios,1,1,6.10,1,2,9.20,0,Ninguno,Ninguna,,
"COMPOSITOR LUIS MEGIAS, CALLE",Calle Compositor Luis Megías,1,1,6.10,0,0,0.00,0,Ninguno,Ninguna,,
"COMPOSITOR RUIZ AZNAR, CALLE",Calle Compositor Ruiz Aznar,2,2,12.20,0,0,0.00,0,Ninguno,Ninguna,,
"CONCHA PIQUER, CALLE",Calle Concha Piquer,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"CONDE CIFUENTES, CALLE",Calle Conde Cifuentes,1,2,11.00,0,0,0.00,0,Ninguno,Ninguna,,
"CONOCIMIENTO, AVENIDA, DEL",Avenida del Conocimiento,5,8,28.20,0,0,0.00,0,Ninguno,Ninguna,,
"CONSUELO, CALLE",Calle Consuelo,1,1,6.40,0,0,0.00,0,Ninguno,Ninguna,,
"COSTA RICA, CALLE",Calle Costa Rica,1,1,7.10,0,0,0.00,0,Ninguno,Ninguna,,
"CRISTO DE LA YEDRA, CALLE",Calle Cristo de la Yedra,2,2,13.00,1,0,21.30,0,Ninguno,Ninguna,,
"CRISTO DE MEDINACELI, CALLE",Calle Cristo de Medinaceli,1,2,9.80,2,0,30.00,39,Azul,Toda la calle,,
"CRISTOBAL COLON, CALLE",Calle Cristóbal Colón,1,1,6.90,0,0,0.00,0,Ninguno,Ninguna,,
"CRUZ DE LA RAUDA, CALLE",Calle Cruz de la Rauda,1,1,4.70,0,0,0.00,0,Ninguno,Ninguna,,
"CURRO CUCHARES, CALLE",Calle Curro Cuchares,2,6,25.34,0,0,0.00,0,Ninguno,Ninguna,,
"DEMETRIO SPINOLA, CALLE",Calle Demetrio Spínola,1,1,3.61,0,0,0.00,0,Ninguno,Ninguna,,
"DELFIN, CALLE",Calle Delfín,0,0,0.00,1,0,23.50,0,Ninguno,Ninguna,,
"DILAR, AVENIDA, DE",Avenida de Dílar,7,9,52.60,10,4,181.10,57,Azul,Entre Palencia y Río Monachil -impares 27-127 y pares 12 a 136,,
"DIVINA PASTORA, AVENIDA",Avenida Divina Pastora,1,3,15.30,4,0,73.71,0,Ninguno,Ninguna,,
"DO?A ROSITA, CALLE",Calle Doña Rosita,3,4,20.90,2,0,37.30,0,Ninguno,Ninguna,,
"DOCTOR ADELARDO MORA, CALLE",Calle Doctor Adelardo Mora,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"DOCTOR ALEJANDRO OTERO, CALLE",Calle Doctor Alejandro Otero,2,4,24.90,2,0,35.20,0,Ninguno,Ninguna,,
"DOCTOR AZPITARTE, CALLE",Calle Doctor Azpitarte,3,8,39.40,3,3,51.40,43,Azul,Toda la calle,,
"DOCTOR BARRAQUER, CALLE",Calle Doctor Berraquer,1,1,4.72,0,0,0.00,0,Ninguno,Ninguna,,
"DOCTOR CASTROVIEJO, CALLE",Calle Doctor Castroviejo,0,0,0.00,1,0,12.10,0,Ninguno,Ninguna,,
"DOCTOR FERMIN GARRIDO, CALLE",Calle Doctor Fermín Garrido,1,1,3.60,0,0,0.00,0,Ninguno,Ninguna,,
"DOCTOR FLEMING, CALLE",Calle Doctor Fleming,1,1,6.00,0,0,0.00,0,Ninguno,Ninguna,,
"DOCTOR GOMEZ ROMAN, CALLE",Calle Doctor Gómez Román,0,0,0.00,1,0,16.80,0,Ninguno,Ninguna,,
"DOCTOR GUIRAO GEA, CALLE",Calle Doctor Guirao Gea,2,7,34.80,0,0,0.00,125,Azul,Toda la calle,,
"DOCTOR JIMENEZ DIAZ, CALLE",Calle Doctor Jiménez Díaz,1,1,3.60,1,0,18.90,0,Ninguno,Ninguna,,
"DOCTOR LOPEZ FONT, CALLE",Calle Doctor López Font,0,0,0.00,2,0,48.10,0,Ninguno,Ninguna,,
"DOCTOR LOPEZ NEYRA, PLAZA, DEL",Plaza del Doctor López Neyra,0,0,0.00,1,0,19.20,0,Ninguno,Ninguna,,
"DOCTOR MARA?ON, CALLE",Calle Doctor Marañón,0,0,0.00,1,0,35.60,0,Ninguno,Ninguna,,
"DOCTOR MARTIN LAGOS, CALLE",Calle Doctor Martín Lagos,0,0,0.00,1,0,8.80,10,Azul,Toda la calle,,
"DOCTOR MEDINA OLMOS, CALLE",Calle Doctor Medina Olmos,2,3,21.30,1,0,29.30,0,Ninguno,Ninguna,,
"DOCTOR MESA MOLES, CALLE",Calle Doctor Mesa Moles,0,0,0.00,1,4,23.00,0,Ninguno,Ninguna,,
"DOCTOR OLORIZ, AVENIDA",Avenida Doctor Olóriz,0,0,0.00,3,0,46.30,0,Ninguno,Ninguna,,
"DOCTOR PAREJA YEBENES, CALLE",Calle Doctor Pareja Yébenes,0,0,0.00,1,0,27.70,0,Ninguno,Ninguna,,
"DOCTOR ROJAS BALLESTEROS, CALLE",Calle Doctor Rojas Ballesteros,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"DOCTOR SANCHEZ MARISCAL, CALLE",Calle Doctor Sánchez Mariscal,1,1,7.10,0,0,0.00,0,Ninguno,Ninguna,,
"DOMINGO PUENTE MARIN, CALLE",Calle Domingo Puente Marín,1,1,4.87,0,0,0.00,0,Ninguno,Ninguna,,
"DON BOSCO, AVENIDA",Avenida Don Bosco,2,2,11.90,4,6,81.00,42,Azul,Entre Italia y Andrés Segovia -impares 41 a 43 y pares 43 a 46,,
"DON EMILIO DURAN DURAN, CALLE",Calle Don Emilio Durán Durán,0,0,0.00,1,0,24.60,0,Ninguno,Ninguna,,
"DORADA, CALLE",Calle Dorada,1,2,6.80,0,0,0.00,0,Ninguno,Ninguna,,
"DUQUE DE SAN PEDRO GALATINO, AVENIDA, DEL",Avenida del Duque de San Pedro Galatino,2,2,12.10,0,0,0.00,0,Ninguno,Ninguna,,
"ELVIRA, CALLE",Calle Elvira,0,0,0.00,1,0,20.89,0,Ninguno,Ninguna,,
"EMIR, CALLE",Calle Emir,2,6,25.90,1,0,18.10,0,Ninguno,Ninguna,,
"EMPERADOR CARLOS V, PASEO, DEL",Paseo del Emperador Carlos V,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"EMPERATRIZ EUGENIA, CALLE",Calle Emperatriz Eugenia,2,4,20.40,4,9,128.90,55,Azul,Toda la calle,,
"ENCINA, CALLE",Calle Encina,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ENTRALA Y DURAN, CALLE",Calle Entrala y Durán,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ESCRITOR BALTASAR MARTINEZ, CALLE",Calle Escritor Baltasar Martínez,1,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"ESCRITOR MIGUEL TORO, CALLE",Calle Escritor Miguel Toro,1,3,17.80,0,0,0.00,0,Ninguno,Ninguna,,
"ESCULTOR LOPEZ AZAUSTRE, CALLE",Calle Escultor López Azaustre,0,0,0.00,1,4,22.00,0,Ninguno,Ninguna,,
"ESCULTOR PABLO LOYZAGA, CALLE",Calle Escultor Pablo Loyzaga,0,0,0.00,1,0,31.60,0,Ninguno,Ninguna,,
"ESTRELLAS, CALLE",Calle Estrellsa,2,4,25.00,0,0,0.00,0,Ninguno,Ninguna,,
"EUDOXIA PIRIZ, CALLE",Calle Eudoxia Piriz,1,2,10.10,0,0,0.00,0,Ninguno,Ninguna,,
"FAISAN, CALLE",Calle Faisán,0,0,0.00,1,3,16.50,0,Ninguno,Ninguna,,
"FATIMA, PLACETA, DE",Placeta de Fátima,0,0,0.00,1,4,21.40,0,Ninguno,Ninguna,,
"FEDERICO GARCIA LORCA, AVENIDA",Avenida Federico García Lorca,5,9,48.44,0,0,0.00,0,Ninguno,Ninguna,,
"FELIX RODRIGUEZ DE LA FUENTE, CALLE",Calle Félix Rodríguez de la Fuente,2,2,7.19,0,0,0.00,0,Ninguno,Ninguna,,
"FERNAN CABALLERO, CALLE",Calle Fernán Caballero,0,0,0.00,1,0,18.70,0,Ninguno,Ninguna,,
"FLORES, CALLE, LAS",Calle Las Flores,1,1,6.40,0,0,0.00,0,Ninguno,Ninguna,,
"FONTIVEROS, CALLE",Calle Fontiveros,3,6,30.30,1,0,14.83,0,Ninguno,Ninguna,,
"FRANCISCO HURTADO IZQUIERDO, CALLE",Calle Francisco Hurtado Izquierdo,2,3,14.90,0,0,0.00,0,Ninguno,Ninguna,,
"FRAY LEOPOLDO DE ALPANDEIRE, CALLE",Calle Fray Leopoldo de Alpandeire,1,1,7.00,1,0,16.80,0,Ninguno,Ninguna,,
"FRIBURGO, CALLE",Calle Friburgo,1,1,7.60,0,0,0.00,0,Ninguno,Ninguna,,
"FUENTE DE LA BICHA, PASEO",Paseo Fuente de la Bicha,1,5,12.70,0,0,0.00,0,Ninguno,Ninguna,,
"FUERZAS ARMADAS, AVENIDA, DE LAS",Avenida de las Fuerzas Armadas,2,4,15.50,0,0,0.00,0,Ninguno,Ninguna,,
"GABRIEL ARAGON, CALLE",Calle Gabriel Aragón,1,1,6.10,1,0,15.50,0,Ninguno,Ninguna,,
"GABRIELA MISTRAL, CALLE",Calle Gabriela Mistral,0,0,0.00,1,0,23.40,0,Ninguno,Ninguna,,
"GAONA, CALLE",Calle Gaona,1,1,5.70,0,0,0.00,0,Ninguno,Ninguna,,
"GARCIA MORATO, CALLE",Calle García Morato,1,2,10.00,0,0,0.00,0,Ninguno,Ninguna,,
"GARRIDO DEL CASTILLO, CALLE",Calle Garrido del Castillo,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"GAVIOTA, CALLE",Calle Gaviota,1,1,6.50,2,2,25.20,0,Ninguno,Ninguna,,
"GENERAL NARVAEZ, CALLE",Calle General Narváez,2,3,21.99,0,0,0.00,25,Azul,Toda la calle,,
"GLORIA FUERTES, AVENIDA",Avenida Gloria Fuertes,1,1,5.50,0,0,0.00,0,Ninguno,Ninguna,,
"GOLCO, CALLE",Calle Golco,1,2,14.50,0,0,0.00,0,Ninguno,Ninguna,,
"GONZALO GALLAS, CALLE",Calle Gonzalo Gallas,1,2,13.40,1,0,30.10,0,Ninguno,Ninguna,,
"GONZALO JIMENEZ DE QUESADA, CALLE",Calle Gonzalo Jiménez de Quesada,1,1,6.72,0,0,0.00,0,Ninguno,Ninguna,,
"GRACIA, CALLE",Calle Gracia,0,0,0.00,1,0,16.50,0,Ninguno,Ninguna,,
"GRACIA, PLAZA, DE",Plaza de Gracia,1,1,5.00,0,0,0.00,18,Roja,Toda la calle,,
"GRAN CAPITAN, CALLE",Calle Gran Capitán,2,3,18.60,2,0,72.80,55,Roja,Toda la calle,,
"GRANADOS, CALLE",Calle Granados,1,2,9.20,0,0,0.00,0,Ninguno,Ninguna,,
"GUTIERRE DE CETINA, PLACETA",Placeta de Gutierre de Cetina,1,3,13.80,0,0,0.00,0,Ninguno,Ninguna,,
"GUTIERRE TIBON, CALLE",Calle Gutierre Tibon,0,0,0.00,1,0,15.10,0,Ninguno,Ninguna,,
"HENRIQUEZ DE JORQUERA, CALLE",Calle Henríquez de Jorquera,1,1,7.20,0,0,0.00,0,Ninguno,Ninguna,,
"HIGUERA, CALLE",Calle Higuera,1,1,4.70,0,0,0.00,0,Ninguno,Ninguna,,
AVENIDA DEL HOSPICIO,Avenida del Hospicio,0,0,0.00,0,0,0.00,39,Azul,Toda la calle,,
"HOYA DE LA MORA, CALLE",Calle Hoya de la Mora,0,0,0.00,1,0,17.00,0,Ninguno,Ninguna,,
"INGENIERO SANTA CRUZ, CALLE",Calle Ingeniero Santa Cruz,1,1,3.90,0,0,0.00,0,Ninguno,Ninguna,,
"INVESTIGACION, AVENIDA, DE LA",Avenida de la Investigación,5,19,94.93,0,0,0.00,0,Ninguno,Ninguna,,
"ISAAC ALBENIZ, CALLE",Calle Isaac Albéniz,0,0,0.00,3,2,53.20,17,Azul,Toda la calle,,
"ISABEL CATOLICA, PLAZA",Plaza Isabel La Católica,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ISLA DE LA GOMERA, CALLE",Calle Isla de La Gomera,1,5,37.80,0,0,0.00,0,Ninguno,Ninguna,,
"ISMAIL, CALLE",Calle Ismail,1,2,7.20,0,0,0.00,0,Ninguno,Ninguna,,
"IZNAJAR, CALLE",Calle Iznájar,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"JAEN, CALLE",Calle Jaén,1,1,5.60,0,0,0.00,0,Ninguno,Ninguna,,
"JARDIN DE DARAJA, CALLE",Calle Jardín de Daraja,1,1,6.10,0,0,0.00,0,Ninguno,Ninguna,,
"JARDIN DE LA REINA, PASEO",Paseo Jardín de la Reina,1,2,12.50,5,0,92.00,0,Ninguno,Ninguna,,
"JAVIER TORTOSA, CALLE",Calle Javier Tortosa,1,2,11.20,0,0,0.00,0,Ninguno,Ninguna,,
"JIMENEZ QUILES, CALLE",Calle Jiménez Quiles,1,2,11.50,1,2,13.20,0,Ninguno,Ninguna,,
"JOAQUIN BLUME, CALLE",Calle Joaquín Blume,1,1,5.20,0,0,0.00,0,Ninguno,Ninguna,,
"JOAQUIN COSTA, CALLE",Calle Joaquín Costa,0,0,0.00,2,0,24.20,0,Ninguno,Ninguna,,
"JOAQUINA EGUARAS, CALLE",Calle Joaquina Eguaras,1,4,19.80,0,0,0.00,0,Ninguno,Ninguna,,
"JOSE LUIS PEREZ PUJADAS, CALLE",Calle José Luis Pérez Pujadas,3,5,22.10,1,0,8.60,0,Ninguno,Ninguna,,
"JOSE MARIA GARRIDO LOPERA, CALLE",Calle José María Garrido Lopera,2,3,20.60,1,0,20.80,0,Ninguno,Ninguna,,
"JOSE MARIA MIRANDA SERRANO, CALLE",Calle José María Miranda Serrano,1,1,6.71,0,0,0.00,0,Ninguno,Ninguna,,
"JOSE RECUERDA, CALLE",Calle José Recuerda,1,1,7.80,1,0,19.00,0,Ninguno,Ninguna,,
"JOSE TAMAYO, CALLE",Calle José Tamayo,1,1,6.20,0,0,0.00,0,Ninguno,Ninguna,,
"JUAN DE ECHEVARRIA, CALLE",Calle Juan de Echevarría,0,0,0.00,1,0,19.10,0,Ninguno,Ninguna,,
"JUAN DE SEVILLA, CALLE",Calle Juan de Sevilla,1,1,6.40,0,0,0.00,0,Ninguno,Ninguna,,
"JUAN PABLO II, AVENIDA",Avenida Juan Pablo II,4,13,54.07,2,0,33.30,0,Ninguno,Ninguna,,
"JULIO MORENO DAVILA, CALLE",Calle Julio Moreno Dávila,2,2,7.40,0,0,0.00,0,Ninguno,Ninguna,,
"JULIO VERNE, CALLE",Calle Julio Verne,1,2,10.40,0,0,0.00,0,Ninguno,Ninguna,,
"JUNCOS, CALLE, DE LOS",Calle de los Juncos,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"JUVENTUDES MUSICALES, AVENIDA, DE",Avenida de Juventudes Musicales,2,3,17.20,0,0,0.00,0,Ninguno,Ninguna,,
"LAGUNA DE AGUAS VERDES, CALLE",Calle Laguna de aguas verdes,1,1,2.49,0,0,0.00,0,Ninguno,Ninguna,,
"LAGUNA DE CAMEROS, PASEO",Paseo Laguna de cameros,1,5,15.40,0,0,0.00,0,Ninguno,Ninguna,,
"LAGUNA DE LAS YEGUAS, CALLE",Calle Laguna de las yeguas,1,1,3.30,0,0,0.00,0,Ninguno,Ninguna,,
"LAUREL DE SAN MATIAS, CALLE",Calle Laurel de San Matías,0,0,0.00,1,0,10.90,0,Ninguno,Ninguna,,
"LEDA?A, CALLE",Calle Ledaña,1,2,10.80,0,0,0.00,0,Ninguno,Ninguna,,
"LIMA, CALLE",Calle Lima,2,3,19.80,0,0,0.00,0,Ninguno,Ninguna,,
"LIRIOS, PASAJE, DE",Pasaje de Lirios,0,0,0.00,1,0,16.70,0,Ninguno,Ninguna,,
"LOBOS, PLAZA, DE LOS",Plaza de los Lobos,0,0,0.00,2,0,38.50,0,Ninguno,Ninguna,,
CALLE LOPE DE VEGA,Calle Lope de Vega,0,0,0.00,0,0,0.00,38,Azul,Toda la calle,,
CALLE LUIS BRAILLE,Calle Luis Braille,0,0,0.00,0,0,0.00,28,Azul,Toda la calle,,
